Wavelength,Flux,BestFit,SkyFlux
4154.320,56.867,58.278,6.513
4155.276,55.431,58.555,6.436
4156.234,55.101,58.948,6.615
4157.190,54.723,59.162,7.000
4158.149,52.461,57.809,6.905
4159.106,54.908,58.697,6.219
4160.065,58.742,60.717,5.783
4161.022,55.768,62.062,6.208
4161.979,60.422,62.537,6.889
4162.939,62.596,63.272,7.208
4163.896,64.031,63.751,7.152
4164.857,60.564,61.224,7.624
4165.815,59.282,62.056,8.612
4166.775,55.941,63.487,8.779
4167.734,54.953,62.137,8.154
4168.693,59.031,61.399,7.503
4169.654,58.782,60.272,7.225
4170.613,56.375,61.531,7.477
4171.575,58.206,61.361,8.318
4172.535,49.963,59.661,7.950
4173.497,53.507,58.725,7.350
4174.457,54.803,59.145,6.958
4175.417,50.394,59.256,6.719
4176.380,54.801,58.695,6.454
4177.341,59.572,59.802,6.463
4178.304,54.745,60.673,6.522
4179.265,50.997,59.313,6.563
4180.229,49.409,57.251,6.493
4181.191,50.569,55.241,6.247
4182.155,51.799,55.173,6.282
4183.117,45.250,53.075,6.570
4184.079,45.310,50.300,6.288
4185.044,40.329,47.899,5.886
4186.007,39.853,43.553,6.213
4186.972,40.137,42.464,6.617
4187.935,42.228,40.343,5.929
4188.901,38.301,38.013,5.192
4189.865,39.322,40.334,5.690
4190.829,41.873,46.955,6.614
4191.795,43.713,50.631,6.597
4192.759,47.424,52.783,5.940
4193.726,49.705,53.104,5.947
4194.691,49.066,53.673,6.830
4195.658,51.286,56.466,7.294
4196.624,55.113,59.132,6.651
4197.589,53.057,57.183,5.721
4198.557,51.529,57.083,5.157
4199.523,51.475,58.282,4.762
4200.491,56.352,59.572,5.467
4201.457,53.542,59.227,6.300
4202.426,52.020,57.984,6.403
4203.393,53.462,58.622,5.984
4204.360,53.757,58.056,5.830
4205.330,56.075,58.938,6.222
4206.297,58.411,59.661,6.626
4207.267,58.226,58.903,6.285
4208.235,56.735,57.891,5.881
4209.205,59.795,58.725,6.193
4210.174,60.304,58.714,6.466
4211.142,57.602,58.632,6.157
4212.113,55.017,57.693,6.191
4213.082,54.889,56.322,6.630
4214.054,52.012,56.106,6.767
4215.023,50.973,57.297,6.527
4215.995,52.395,55.590,6.272
4216.965,50.853,52.850,6.148
4217.935,49.569,51.341,6.135
4218.908,48.298,50.307,6.093
4219.878,46.082,48.263,5.853
4220.851,51.952,45.240,5.555
4221.822,47.605,42.070,5.649
4222.796,45.022,41.139,6.414
4223.767,44.875,39.356,6.996
4224.739,45.005,37.779,6.358
4225.713,45.791,39.297,5.335
4226.685,45.248,43.364,5.070
4227.660,45.309,45.070,5.203
4228.633,45.486,43.329,5.124
4229.608,41.794,42.135,5.252
4230.581,40.912,41.244,5.965
4231.554,38.711,40.950,6.764
4232.530,38.822,44.151,7.102
4233.504,46.427,45.353,6.625
4234.480,49.127,46.750,6.032
4235.454,50.746,48.922,6.081
4236.431,50.434,51.738,6.202
4237.405,51.441,53.916,5.751
4238.380,54.974,54.006,5.339
4239.357,54.500,54.922,5.674
4240.333,50.777,54.847,6.242
4241.310,51.546,55.437,6.153
4242.286,53.549,56.637,5.377
4243.264,56.825,57.548,5.131
4244.241,55.404,58.190,5.345
4245.217,55.406,58.171,5.186
4246.196,58.530,58.584,5.620
4247.173,56.598,60.078,6.772
4248.152,59.764,61.596,7.923
4249.129,57.900,61.368,7.739
4250.109,57.455,59.667,6.343
4251.087,60.294,61.518,5.663
4252.065,58.502,61.915,6.363
4253.045,55.946,62.131,6.943
4254.024,59.447,60.928,5.721
4255.005,61.785,58.395,4.747
4255.984,60.428,58.851,5.871
4256.965,54.758,60.854,7.002
4257.944,59.213,59.915,6.775
4258.926,60.818,60.776,6.370
4259.906,59.420,62.461,5.865
4260.886,60.819,62.485,5.185
4261.869,61.782,62.322,5.002
4262.849,61.005,60.794,5.704
4263.832,58.496,59.675,6.340
4264.813,55.061,59.110,6.288
4265.796,55.249,58.855,6.303
4266.778,59.681,59.059,6.736
4267.759,61.370,59.771,6.635
4268.743,58.252,59.595,5.742
4269.725,63.007,60.786,5.297
4270.710,56.829,61.295,5.803
4271.692,59.657,61.759,5.698
4272.677,61.973,62.629,5.335
4273.660,61.254,61.832,5.642
4274.644,60.213,61.154,6.262
4275.629,60.530,60.599,6.344
4276.613,62.169,62.179,6.031
4277.599,62.114,64.465,6.396
4278.583,60.395,64.836,7.063
4279.570,62.538,63.408,6.736
4280.554,64.347,63.454,6.138
4281.539,64.771,65.252,5.652
4282.526,65.680,62.686,5.348
4283.511,59.004,58.743,5.610
4284.499,61.738,58.705,6.147
4285.485,62.494,60.690,5.973
4286.473,62.187,59.714,5.598
4287.459,62.313,59.764,5.363
4288.446,62.699,60.967,5.388
4289.434,59.626,61.612,5.408
4290.421,54.387,60.827,5.579
4291.411,56.454,59.300,5.597
4292.398,58.524,57.424,5.027
4293.388,61.185,57.729,4.809
4294.375,59.394,59.169,5.534
4295.363,56.829,59.491,5.696
4296.354,57.889,59.081,4.603
4297.342,59.484,60.903,5.042
4298.333,61.083,62.590,5.950
4299.322,62.352,63.258,6.001
4300.313,63.361,64.640,5.013
4301.303,63.131,64.007,4.382
4302.292,61.170,61.229,4.401
4303.284,60.158,61.571,4.477
4304.274,59.865,60.365,4.326
4305.267,56.315,60.144,4.491
4306.257,58.170,58.891,4.718
4307.250,58.842,57.546,5.042
4308.241,56.172,58.261,5.501
4309.232,54.012,60.500,5.430
4310.226,55.319,61.956,4.945
4311.217,59.802,62.780,5.006
4312.212,62.300,62.686,5.628
4313.204,62.896,63.053,6.017
4314.198,63.153,63.451,6.173
4315.191,63.186,61.111,6.688
4316.183,60.653,59.943,7.677
4317.179,55.691,59.678,8.110
4318.172,57.229,59.262,7.141
4319.168,59.128,59.129,5.809
4320.161,55.566,59.811,6.474
4321.157,56.329,60.087,7.476
4322.152,57.791,58.197,7.164
4323.146,59.461,60.942,6.534
4324.143,57.433,62.220,5.688
4325.137,59.100,60.767,4.889
4326.135,59.016,59.511,4.754
4327.130,56.788,59.452,5.319
4328.128,57.511,59.648,6.055
4329.124,58.768,59.801,6.293
4330.119,57.943,59.701,5.970
4331.118,59.027,60.358,5.784
4332.114,65.128,61.685,5.796
4333.113,61.059,61.664,5.792
4334.110,61.585,61.135,5.921
4335.110,55.119,59.296,6.155
