Wavelength,Flux,BestFit,SkyFlux
4272.677,30.752,29.577,10.751
4273.660,30.024,31.018,10.807
4274.644,31.276,32.051,10.813
4275.629,36.338,33.890,10.756
4276.613,35.889,35.682,11.356
4277.599,36.829,37.070,11.809
4278.583,33.976,36.682,11.751
4279.570,32.808,39.933,11.151
4280.554,35.244,42.512,10.479
4281.539,35.449,42.024,10.026
4282.526,34.667,40.952,9.908
4283.511,34.382,40.323,10.192
4284.499,33.619,41.725,10.562
4285.485,32.044,42.192,10.306
4286.473,39.526,42.609,9.939
4287.459,36.634,43.645,10.171
4288.446,38.235,44.579,9.717
4289.434,38.656,45.669,8.678
4290.421,41.057,46.394,8.151
4291.411,40.559,43.631,8.819
4292.398,39.815,42.808,10.151
4293.388,39.541,44.344,10.838
4294.375,36.721,44.144,10.850
4295.363,38.980,44.815,10.561
4296.354,39.158,43.701,9.927
4297.342,36.647,44.019,9.965
4298.333,35.789,44.204,10.017
4299.322,34.629,42.731,9.824
4300.313,37.619,41.012,9.487
4301.303,34.924,41.426,9.092
4302.292,35.830,41.655,8.551
4303.284,37.090,41.051,8.130
4304.274,37.346,41.932,8.313
4305.267,35.909,43.364,9.120
4306.257,34.083,42.176,9.784
4307.250,35.615,39.752,10.439
4308.241,32.879,38.936,11.335
4309.232,33.242,38.422,11.858
4310.226,30.567,36.235,11.584
4311.217,31.501,33.944,11.445
4312.212,25.651,32.764,11.777
4313.204,25.245,27.836,13.221
4314.198,24.167,25.897,15.328
4315.191,23.089,23.313,15.358
4316.183,22.909,21.821,13.712
4317.179,23.802,24.106,13.065
4318.172,24.530,29.195,12.910
4319.168,26.441,32.866,12.328
4320.161,31.363,36.844,12.208
4321.157,30.374,36.680,13.099
4322.152,31.649,36.538,13.296
4323.146,33.583,39.628,11.352
4324.143,34.195,42.460,9.837
4325.137,35.612,39.447,10.060
4326.135,36.581,40.079,10.943
4327.130,34.652,41.134,11.097
4328.128,34.480,42.070,10.512
4329.124,35.212,42.084,10.130
4330.119,35.368,40.693,10.143
4331.118,36.282,41.733,10.137
4332.114,36.135,41.678,10.137
4333.113,34.169,41.983,10.413
4334.110,34.682,42.412,10.340
4335.110,34.421,41.610,9.960
4336.107,38.426,40.145,9.853
4337.107,36.403,41.549,9.885
4338.105,36.870,40.823,10.479
4339.103,38.251,41.445,10.004
4340.103,35.756,41.131,10.090
4341.102,35.175,39.311,10.805
4342.103,36.562,38.924,10.955
4343.101,37.533,40.158,10.619
4344.103,37.834,39.690,10.589
4345.102,36.114,36.185,10.717
4346.102,33.648,34.538,11.030
4347.104,29.172,34.385,12.198
4348.104,29.557,31.500,14.147
4349.107,32.486,28.811,14.571
4350.107,33.793,25.854,13.198
4351.110,35.515,24.476,11.627
4352.111,36.230,23.682,10.514
4353.113,38.994,23.584,9.938
4354.116,42.584,26.128,10.234
4355.118,47.121,31.270,10.754
4356.122,47.187,34.578,13.577
4357.125,39.322,30.860,27.109
4358.129,31.151,26.148,57.657
4359.132,28.343,24.163,84.684
4360.135,29.429,23.937,79.565
4361.140,30.112,26.923,48.545
4362.143,31.381,28.005,25.087
4363.149,31.906,29.544,18.163
4364.153,34.400,32.359,14.377
4365.159,34.577,35.421,12.796
4366.164,34.554,37.103,12.461
4367.168,35.460,36.827,12.219
4368.175,36.457,38.011,12.201
4369.180,36.370,39.295,12.198
4370.187,37.281,39.254,11.469
4371.193,39.534,39.398,10.675
4372.201,37.985,41.433,10.812
4373.207,36.783,42.044,11.664
4374.213,38.772,41.039,12.208
4375.221,40.947,42.377,12.403
4376.228,40.163,44.650,12.896
4377.237,38.647,45.286,13.350
4378.244,40.540,44.124,12.936
4379.254,40.127,43.797,11.936
4380.261,40.942,45.300,11.050
4381.269,41.244,45.131,11.108
4382.279,41.259,44.978,10.969
4383.287,41.102,44.144,11.228
4384.298,38.462,41.227,11.231
4385.307,38.835,42.289,10.616
4386.318,41.890,43.656,10.687
4387.327,41.243,43.777,10.672
4388.336,43.550,44.089,10.553
4389.348,39.669,44.984,10.012
4390.358,42.716,45.628,10.257
4391.370,42.739,46.281,10.543
4392.381,41.778,44.192,10.636
4393.393,40.801,43.315,10.912
4394.404,36.694,42.635,11.099
4395.415,36.892,42.018,10.919
4396.429,38.184,43.200,10.975
4397.440,36.890,44.390,10.631
4398.454,39.986,43.553,10.053
4399.466,39.158,44.780,10.432
4400.480,40.094,45.510,11.121
4401.493,41.973,45.036,11.767
4402.505,43.642,45.867,13.090
4403.520,40.742,46.428,13.377
4404.534,42.638,44.463,13.266
4405.549,40.993,44.107,13.880
4406.563,40.913,45.945,14.573
4407.579,42.844,47.673,15.081
4408.593,41.702,47.513,14.840
4409.607,39.942,47.044,14.420
4410.624,40.350,46.003,13.878
4411.638,41.779,47.824,13.637
4412.656,42.465,47.232,15.163
4413.671,38.465,43.558,15.438
4414.689,40.149,42.603,14.662
4415.704,39.213,44.674,14.010
4416.723,42.056,44.246,14.962
4417.739,44.421,44.529,14.768
4418.755,43.384,45.013,13.682
4419.774,38.536,45.199,13.481
4420.791,42.596,45.376,14.026
4421.810,40.824,43.502,14.553
4422.827,37.838,42.092,13.873
4423.847,38.169,42.824,12.431
4424.865,38.817,43.772,12.537
4425.883,40.147,43.674,14.286
4426.903,38.732,43.419,15.011
4427.922,41.853,44.262,13.008
4428.943,41.539,46.664,11.568
4429.962,42.204,47.093,11.777
4430.983,41.269,48.137,12.052
4432.003,39.349,48.554,12.461
4433.022,42.260,45.352,12.348
4434.044,43.739,45.117,11.549
4435.064,41.923,44.344,10.647
4436.087,37.955,44.555,10.548
4437.108,39.887,44.034,10.888
4438.131,40.570,42.537,11.942
4439.152,36.104,42.379,13.293
4440.173,37.155,44.020,13.222
4441.197,39.286,46.029,12.183
4442.219,40.803,46.564,11.522
4443.243,43.529,46.346,10.759
4444.265,41.728,46.169,10.621
4445.290,39.298,45.739,11.532
4446.313,39.204,44.755,12.505
4447.336,40.586,44.317,12.152
4448.361,41.325,44.124,10.955
4449.384,37.356,44.069,10.589
4450.410,38.484,44.095,11.080
4451.434,41.654,44.180,11.355
4452.461,41.257,44.283,11.054
4453.485,39.682,42.485,10.305
4454.510,40.086,44.256,9.843
4455.537,40.620,46.568,10.028
4456.562,38.721,45.915,10.282
4457.589,39.048,43.671,9.956
4458.615,38.162,43.606,9.533
4459.643,41.354,43.627,9.859
4460.669,42.863,43.596,10.145
4461.695,41.439,44.345,9.949
4462.724,45.928,46.128,9.756
4463.751,46.596,47.736,9.785
4464.780,45.577,47.069,10.244
